id,prefix,previous_name,label,label_ontology,obsolete_term,matched,current_category,suggested_category
EFO:0009842,EFO,EFO:0009842,respiratory depression,efo,False,True,biolink:Disease,
EFO:0009518,EFO,EFO:0009518,complication,efo,False,True,biolink:Disease,
MP:0001845,MP,MP:0001845,abnormal inflammatory response,mp,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0004784,EFO,EFO:0004784,self reported educational attainment,efo,False,True,biolink:Disease,
EFO:0008591,EFO,EFO:0008591,free cholesterol measurement,efo,False,True,biolink:Disease,
EFO:0009756,EFO,EFO:0009756,autoimmune type 1 diabetes,efo,False,True,biolink:Disease,
EFO:0022173,EFO,EFO:0022173,concentration of large VLDL particles measurement,efo,False,True,biolink:Disease,
EFO:1001514,EFO,EFO:1001514,endometrial endometrioid carcinoma,efo,False,True,biolink:Disease,
EFO:0004533,EFO,EFO:0004533,alkaline phosphatase measurement,efo,False,True,biolink:Disease,
EFO:0004527,EFO,EFO:0004527,mean corpuscular hemoglobin,efo,False,True,biolink:Disease,
EFO:0009373,EFO,EFO:0009373,edema,efo,False,True,biolink:Disease,
EFO:0004875,EFO,EFO:0004875,mathematical ability,efo,False,True,biolink:Disease,
HP:0010783,HP,HP:0010783,Erythema,hp,False,True,biolink:Disease,biolink:PhenotypicFeature
OBA:2041267,OBA,OBA:2041267,level of beta-defensin 104 in blood serum,oba,False,True,biolink:Disease,biolink:PhenotypicFeature
EFO:0009614,EFO,EFO:0009614,clavicle fracture,efo,False,True,biolink:Disease,
